Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
1306,/R 549th Anti-Aircraft Missile Regiment,"37.60655103907799,55.35892944443682,0",37.60655103907799,55.35892944443682,"military unit 61991, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1307,/R 549th Anti-Aircraft Missile Regiment,"37.60879311935508,55.31037901039655,0",37.60879311935508,55.31037901039655,"military unit 61991, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1308,606th Anti-Aircraft Missile Regiment HQ,"38.43128713808126,55.80580104039272,0",38.43128713808126,55.80580104039272,military unit 61996,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1309,/R 606th Anti-Aircraft Missile Regiment,"38.35735693831295,55.79656688532905,0",38.35735693831295,55.79656688532905,"military unit 61996, (S-300PM, S-400)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1310,/R 606th Anti-Aircraft Missile Regiment,"38.36246047063964,55.6736278502748,0",38.36246047063964,55.6736278502748,"military unit 61996, (S-300PM, S-400)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1311,/R 606th Anti-Aircraft Missile Regiment,"38.37292507826935,55.54354989305961,0",38.37292507826935,55.54354989305961,"military unit 61996, (S-300PM, S-400)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1312,/R 629th Anti-Aircraft Missile Regiment,"38.16109126730156,56.00976570898793,0",38.16109126730156,56.00976570898793,"military unit 51857, command post",Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1313,/R 629th Anti-Aircraft Missile Regiment,"38.3288693500322,55.91933575693178,0",38.3288693500322,55.91933575693178,"military unit 51857, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1314,/R 629th Anti-Aircraft Missile Regiment,"38.02151251403735,56.10264161253589,0",38.02151251403735,56.10264161253589,"military unit 51857, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1315,/R 629th Anti-Aircraft Missile Regiment,"38.20262137864778,56.02197992415392,0",38.20262137864778,56.02197992415392,military unit 51857,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1316,614th Guards Anti-Aircraft Missile Regiment HQ,"37.96222049115926,55.39814236824097,0",37.96222049115926,55.39814236824097,military unit 92574,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
1317,/R 614th Guards Anti-Aircraft Missile Regiment,"37.97999364485063,55.38258596752275,0",37.97999364485063,55.38258596752275,"military unit 92574, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1318,/R 614th Guards Anti-Aircraft Missile Regiment,"38.14255275603152,55.46814053112215,0",38.14255275603152,55.46814053112215,"military unit 92574, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1319,9th Radio-Technical Regiment HQ,"37.90811999209556,55.05371480724678,0",37.90811999209556,55.05371480724678,military unit 51858,Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
1320,/R 9th Radio-Technical Regiment,"36.92188200501558,54.86606866876181,0",36.92188200501558,54.86606866876181,military unit 51858,Garrison / Unit Base,garrison,"[""electronic""]"
1321,/R 9th Radio-Technical Regiment,"38.32404858793107,55.92140982967672,0",38.32404858793107,55.92140982967672,military unit 51858,Garrison / Unit Base,garrison,"[""electronic""]"
1322,/R 9th Radio-Technical Regiment,"39.70841292928735,55.50545861499017,0",39.70841292928735,55.50545861499017,military unit 51858,Garrison / Unit Base,garrison,"[""electronic""]"
1323,/R 9th Radio-Technical Regiment,"39.42773387714394,55.30621428031321,0",39.42773387714394,55.30621428031321,military unit 51858,Garrison / Unit Base,garrison,"[""electronic""]"
1324,/R 9th Radio-Technical Regiment,"38.9103114758056,54.92033044031131,0",38.9103114758056,54.92033044031131,military unit 51858-M,Garrison / Unit Base,garrison,"[""electronic""]"
1325,5th Air Defense Division HQ,"37.79345538536039,55.53118993000339,0",37.79345538536039,55.53118993000339,military unit 52096,Garrison / Unit Base,garrison,"[""air_defense"", ""hq""]"
1326,900th Missile Defense System Command Post,"37.77234819992025,56.15974965987909,0",37.77234819992025,56.15974965987909,military unit 20007,Headquarters / Command,hq_command,"[""hq"", ""missile""]"
1327,102nd Separate Missile Defense Center,"38.57609748713779,56.24303322566702,0",38.57609748713779,56.24303322566702,military unit 48701,Garrison / Unit Base,garrison,"[""missile""]"
1328,482nd Separate Radio-Technical Unit,"37.76939619800953,56.17321035678213,0",37.76939619800953,56.17321035678213,"military unit 03523, Don-2N radar",Radar / Air Defense Site,radar_air_defense,"[""electronic"", ""radar""]"
1329,572nd Separate Radio-Technical Unit,"37.29601119667981,55.23082305546962,0",37.29601119667981,55.23082305546962,"military unit 03863, Dunay-3U radar",Radar / Air Defense Site,radar_air_defense,"[""electronic"", ""radar""]"
1330,15th Missile Defense Complex,"37.38965054991314,55.62555684065019,0",37.38965054991314,55.62555684065019,"military unit 51087, A-135 System/53T6 Missiles",Garrison / Unit Base,garrison,"[""missile""]"
1331,16th Missile Defense Complex,"37.77060854723592,55.57716665310016,0",37.77060854723592,55.57716665310016,"military unit 51086, A-135 System/53T6 Missiles",Garrison / Unit Base,garrison,"[""missile""]"
1332,49th Missile Defense Complex,"37.78724802448544,56.18069276107728,0",37.78724802448544,56.18069276107728,"military unit 51084, A-135 System/53T6 Missiles",Garrison / Unit Base,garrison,"[""missile""]"
1333,50th Missile Defense Complex,"37.89308203741336,55.87804573846716,0",37.89308203741336,55.87804573846716,"military unit 51085, A-135 System/53T6 Missiles",Garrison / Unit Base,garrison,"[""missile""]"
1334,89th Missile Defense Complex,"37.30835458167844,55.90144222022365,0",37.30835458167844,55.90144222022365,"military unit 51089, A-135 System/53T6 Missiles",Garrison / Unit Base,garrison,"[""missile""]"
1335,34th Communications Regiment,"36.79288540440987,56.34078496594906,0",36.79288540440987,56.34078496594906,military unit 12517,Garrison / Unit Base,garrison,"[""electronic""]"
1336,/Be 1876th Technical Base,"36.54587568072384,55.29868433011934,0",36.54587568072384,55.29868433011934,"military unit 02014, storage of 53T6 missiles for the A-135 missile defense system",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
1337,/Be 1876th Technical Base,"36.55902304371515,55.28107778685003,0",36.55902304371515,55.28107778685003,"military unit 02014, storage of 53T6 missiles for the A-135 missile defense system",Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
1338,"164th Information Processing Point
 (?)","36.68087919873133,55.49279331475898,0",36.68087919873133,55.49279331475898,"military unit 52361, Reportedly reformed from the 27th Separate Radio-Technical Unit after a fire destroyed its command post.",Headquarters / Command,hq_command,"[""electronic"", ""hq""]"
1339,New S-400 Site,"37.56263109395489,55.8398933314324,0",37.56263109395489,55.8398933314324,Estabilished in January 2023,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1340,New S-400 Site,"37.69832239924285,55.82260498544915,0",37.69832239924285,55.82260498544915,Estabilished in January 2023,Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
1341,"1st Air Defense and Missile Defense Army Command Post ""Amethyst""","38.02101923873835,55.77652760025602,0",38.02101923873835,55.77652760025602,military unit 51618,Headquarters / Command,hq_command,"[""air_defense"", ""hq"", ""missile""]"
1342,1st Air Defense and Missile Defense Army HQ,"38.01415745546057,55.79415067259206,0",38.01415745546057,55.79415067259206,,Unknown,unknown,"[""air_defense"", ""hq"", ""missile""]"
1343,11th Anti-Aircraft Missile Training Center,"29.94662360506399,59.54476863341415,0",29.94662360506399,59.54476863341415,military unit 03215,Missile Unit / Site,missile_base,"[""air_defense"", ""missile"", ""training""]"
1344,25th Air and Missile Defense Forces Arsenal,"39.62811976569766,55.87593713562032,0",39.62811976569766,55.87593713562032,military unit 11291,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""missile"", ""storage""]"
1345,25th Separate Radio-Technical Battalion,"37.40829958434667,56.83700746749764,0",37.40829958434667,56.83700746749764,"military unit 71584, (36D6,55Zh6, 55Zh6U Nebo U)",Garrison / Unit Base,garrison,"[""electronic""]"
1346,917th Separate Radio-Technical Battalion,"44.75383155369824,58.48845276979501,0",44.75383155369824,58.48845276979501,military unit 48734,Garrison / Unit Base,garrison,"[""electronic""]"
1347,1451st Separate Radio-Technical Battalion,"41.77175116063848,53.37855008503451,0",41.77175116063848,53.37855008503451,military unit 39836,Garrison / Unit Base,garrison,"[""electronic""]"
1348,2260th Separate Radio-Technical Battalion,"33.91271024125645,58.43482241913527,0",33.91271024125645,58.43482241913527,military unit 61943,Garrison / Unit Base,garrison,"[""electronic""]"
1349,2268th Separate Radio-Technical Battalion,"34.45809118799066,57.61934928334596,0",34.45809118799066,57.61934928334596,military unit 52357,Garrison / Unit Base,garrison,"[""electronic""]"
1350,/Bt 2295th Separate Radio-Technical Battalion,"28.5834328025467,60.72255578017467,0",28.5834328025467,60.72255578017467,"military unit 68109, HQ",Garrison / Unit Base,garrison,"[""electronic"", ""hq""]"
1351,/Bt 2295th Separate Radio-Technical Battalion,"28.5772884891441,60.73435903150339,0",28.5772884891441,60.73435903150339,"military unit 68109, radars",Garrison / Unit Base,garrison,"[""electronic""]"
1352,n/a Separate Radio-Technical Battalion,"34.0871813314548,61.8949281878944,0",34.0871813314548,61.8949281878944,military unit 06548,Garrison / Unit Base,garrison,"[""electronic""]"
1353,590th Separate Radio-Technical Unit for Over-the-Horizon Detection of Air Targets,"43.84874225878872,53.98362177611666,0",43.84874225878872,53.98362177611666,"military unit 84680, 29B6 Konteyner over-the-horizon radar",Radar / Air Defense Site,radar_air_defense,"[""electronic"", ""radar""]"
